taxon_name,rank,id
Acanthochitonina,no rank,291892
Mopaliidae,family,34585
Mopalia,genus,256103
Mopalia muscosa,species,256104
Asterozoa,superclass,7587
Asteroidea,class,7588
Forcipulatacea,superorder,41242
Forcipulatida,order,7599
Asteriidae,family,7600
Pisaster,genus,7610
Pisaster brevispinus,species,7611
Skeletonemataceae,family,33848
Skeletonema,genus,2842
Skeletonema japonicum,species,267983
Phyllodocidae,family,195257
Eulalia,genus,251454
Eulalia aviculiseta,species,1261548
Limapontioidea,superfamily,216320
Limapontiidae,family,71495
Aplysiopsis,genus,649608
Aplysiopsis enteromorphae,species,749931
Rhynchospio,genus,1495098
Rhynchospio glutaea,species,1495100
Fragilariophyceae,class,33853
Fragilariophycidae,no rank,33854
Fragilariales,order,33855
Fragilariaceae,family,33856
Asterionellopsis,genus,33639
Asterionellopsis glacialis,species,33640
Sipuncula,subclass,6433
Phascolosomatidea,infraclass,216209
Phascolosomatiformes,order,216210
Phascolosomatidae,family,41795
Phascolosoma,genus,41796
Phascolosoma agassizii,species,360543
Ophiuroidea,class,7618
Ophiuridea,subclass,133710
Ophiurida,order,7619
Ophiurina,suborder,133711
Gnathophiurina,infraorder,41168
Amphiuridae,family,106738
Amphiodia,genus,869199
Amphiodia cf. urtica KSL-2016,species,1898585
Amphiodia cf. urtica EAC-2010,species,869207
Bougainvillia superciliaris,species,645346
Metridia lucens,species,134763
Podoplea,superorder,116571
Poecilostomatoida,order,84310
Bomolochidae,family,864307
Bomolochus,genus,864308
Bomolochus cuneatus,species,864309
Pseudocalanus minutus,species,148993
Citharichthys sordidus,species,319774
Flustrina,suborder,558764
Buguloidea,superfamily,193209
Bugulidae,family,10210
Bugula,genus,10211
Bugula pacifica,species,83903
Euopisthobranchia,no rank,6496
Pteropoda,no rank,977783
Gymnosomata,order,6512
Clionidae,family,71514
Clione,genus,71515
Clione limacina,species,71516
Rathkeidae,family,367923
Rathkea,genus,367924
Rathkea octopunctata,species,367925
Tiaropsidae,family,168797
Tiaropsis,genus,662019
Tiaropsis multicirrata,species,662020
Dorvilleidae,family,160440
Protodorvillea,genus,188468
Protodorvillea gracilis,species,868045
Cyclopoida,order,84308
Cyclopidae,family,84315
Cyclops,genus,263416
Cyclops kikuchii,species,1778564
Oithonidae,family,136189
Oithona,genus,136190
Oithona davisae,species,1532565
Callophyllis sp. BEC-2012,species,1197126
Anthozoa,class,6101
Octocorallia,subclass,6132
Pennatulacea,order,6133
Subselliflorae,suborder,86568
Pennatulidae,family,86579
Ptilosarcus,genus,148586
Ptilosarcus gurneyi,species,161601
Metridia gerlachei,species,201685
Uranoscopiformes,order,1489926
Ammodytidae,family,84619
Ammodytes,genus,84620
Ammodytes hexapterus,species,476914
Opheliidae,family,36122
Ophelina,genus,73385
Ophelina acuminata,species,190468
unclassified Spionidae,no rank,696335
Spionidae sp. CMC03,species,875851
Kallymeniopsis,genus,217485
Kallymeniopsis oblongifructa,species,217486
Capitellida,order,6342
Scalibregmatidae,family,195271
Scalibregma,genus,195274
Scalibregma inflatum CMC03,species,1037306
Amphipholis,genus,48270
Amphipholis sp. EACO2,species,869184
unclassified Hydrozoa,no rank,288120
Hydrozoa sp. prey of Macellomenia sp. KMK-2014,species,1541162
Tellinoidea,superfamily,98297
Tellinidae,family,52798
Angulus,genus,399301
Angulus nuculoides,species,1421102
Cephalaspidea,no rank,69554
Philinoidea,superfamily,71502
Aglajidae,family,195876
Aglaja,genus,413656
Aglaja ocelligera,species,1226706
Lottia paradigitalis,species,142882
Tomopteridae,family,397572
Tomopteris,genus,397573
Tomopteris sp. MW-2013,species,1302795
Glyceridae,family,39821
Glycera,genus,6349
Glycera robusta,species,529267
Limecola,genus,1903274
Limecola balthica,species,1903275
Limecola balthica balthica,subspecies,1697945
Pleuronichthys,genus,195633
Pleuronichthys coenosus,species,269452
Mediophyceae,class,589449
Lithodesmiophycidae,subclass,420270
Lithodesmiales,order,420271
Lithodesmiaceae,family,49247
Ditylum,genus,49248
Ditylum brightwellii,species,49249
Thalassionemales,order,426665
Thalassionemataceae,family,38755
Thalassionema,genus,33648
Thalassionema nitzschioides,species,33649
Chthamalidae sp. 144752A,species,1764482
Brachiopoda,phylum,7568
Phoroniformea,subphylum,120557
Phoronis,genus,33504
Phoronis vancouverensis,species,672013
zooplankton environmental sample,species,1301311
Megalomma,genus,431175
Megalomma splendida,species,868036
Rhodymeniales,order,29247
Faucheaceae,family,81601
Gloiocladia,genus,397495
Gloiocladia sp. 1laciniata,species,1716043
Platynereis,genus,6358
Platynereis bicanaliculata,species,868042
PX clade,no rank,569578
Phaeophyceae,phylum,2870
Ectocarpales,order,2877
Chordariaceae,family,66220
Myrionema,genus,86897
Myrionema balticum,species,190707
Cancer,genus,6754
Cancer productus,species,88209
Callophyllis crenulata,species,217479
Clytia,genus,13436
Clytia hemisphaerica,species,252671
Clytia xiamenensis,species,1246328
Eucalanidae,family,121137
Eucalanus,genus,121140
Eucalanus bungii,species,121138
Amphissa,genus,1421182
Amphissa columbiana,species,1421183
Callophyllis radula,species,1197123
Callophyllis sp. 1radula,species,1582920
Hexacorallia,subclass,6102
Actiniaria,order,6103
Nynantheae,suborder,86626
Metridiidae,family,37511
Metridium,genus,6115
Metridium senile,species,6116
Echinacea,superorder,7674
Echinoida,order,7675
Strongylocentrotidae,family,31181
Mesocentrotus,genus,1306076
Mesocentrotus franciscanus,species,1328066
Pterocirrus,genus,329436
Pterocirrus montereyensis,species,1744886
Hesionidae,family,115834
Micropodarke,genus,378365
Micropodarke dubia,species,378366
Tonicella,genus,256057
Tonicella lineata,species,256058
Diaphorodoris,genus,76166
Diaphorodoris lirulatocauda,species,763121
Nephtyidae,family,36119
Bipalponephtys,genus,797521
Bipalponephtys cornuta,species,714612
Chaetocerotaceae,family,49236
Chaetoceros,genus,49237
Chaetoceros socialis,species,163503
Terebellidae,family,32261
Eupolymnia,genus,13518
Eupolymnia heterobranchia,species,868028
Holothuroidea,class,7705
Dendrochirotacea,subclass,7706
Dendrochirotida,order,7707
Cucumariidae,family,36325
Cucumaria,genus,28832
Cucumaria miniata,species,28833
Platynereis sp. CMC02,species,868071
Cirratulidae,family,46590
Dodecaceria,genus,46591
Dodecaceria sp. CMC02,species,868056
Clytia gracilis,species,252669
Acinetosporaceae,family,142642
Pylaiella,genus,2882
Pylaiella littoralis,species,2885
Pylaiella washingtoniensis,species,1240995
Tardigrada,phylum,42241
Heterotardigrada,class,89368
Echiniscoidea,order,710186
Echiniscoididae,family,500489
Echiniscoides,genus,500490
Echiniscoides sp. Taxon 1,species,1609534
Echiniscoides sp. NC,species,1196127
Aeolididina,infraorder,76176
Fionoidea,superfamily,1287635
Fionidae,family,1287636
Eubranchus,genus,71487
Eubranchus rupium,species,1421122
Polynoidae,family,46593
Lepidonotus,genus,222002
Lepidonotus squamatus CMC01,species,868106
Capitata,suborder,576756
Corynidae,family,6077
Stauridiosarsia,genus,1279101
Stauridiosarsia producta,species,1793163
unclassified Porifera,no rank,1006829
Porifera sp. Sp08,species,1562933
Fungi,kingdom,4751
Dikarya,subkingdom,451864
Basidiomycota,phylum,5204
Pucciniomycotina,subphylum,29000
Microbotryomycetes,class,162481
Sporidiobolales,order,231213
Sporidiobolaceae,family,1799696
Rhodotorula,genus,5533
Rhodotorula taiwanensis,species,741276
Rhodotorula taiwanensis RS1,no rank,1246992
Palmariales,order,2819
Palmariaceae,family,2820
Palmaria,genus,2821
Palmaria mollis,species,700711
environmental samples,no rank,58772
Arthropoda environmental sample,species,260574
Oregoniidae,family,553066
Oregonia,genus,553029
Oregonia gracilis,species,553030
Hexapoda,superclass,6960
Insecta,class,50557
Dicondylia,no rank,85512
Pterygota,subclass,7496
Neoptera,infraclass,33340
Holometabola,superorder,33392
Hymenoptera,order,7399
Apocrita,suborder,7400
Aculeata,infraorder,7434
Vespoidea,superfamily,34725
Formicidae,family,36668
Formicinae,subfamily,7479
Lasiini,tribe,72772
Lasius,genus,7482
Lasius,subgenus,488720
Lasius pallitarsis,species,262030
Geminosyllis,genus,418321
Geminosyllis ohma,species,418322
Dasyaceae,family,35164
Heterosiphonia,genus,94296
Heterosiphonia sp. GWS002971,species,746115
Chthamalidae sp. 144769A,species,1764483
Chthamalidae sp. 144736A,species,1764480
Cuthonella,genus,1765643
Cuthonella cocoachroma,species,763117
Chelicerata,subphylum,6843
Arachnida,class,6854
Acari,subclass,6933
Acariformes,superorder,6946
Sarcoptiformes,no rank,83137
Oribatida,order,66551
Brachypylina,suborder,229894
Phenopelopoidea,superfamily,198278
Phenopelopidae,family,198279
unclassified Phenopelopidae,no rank,1687893
Phenopelopidae sp. BOLD:ACI9045,species,1687899
Glycera capitata,species,529148
Polysiphonia pacifica,species,173544
Veneroidea,superfamily,74489
Veneridae,family,6592
Saxidomus,genus,311200
Saxidomus gigantea,species,410349
Bugula turbinata,species,297737
Ruditapes,genus,186463
Ruditapes philippinarum,species,129788
Scagelia,genus,326250
Scagelia occidentale,species,326251
Anaitides,genus,328585
Anaitides sp. THS-2005,species,328586
Pugetia,genus,217477
Pugetia fragilissima,species,217487
Monstrilloida,order,84311
Monstrillidae,family,389308
Monstrilla,genus,389309
Monstrilla helgolandica,species,1732114
Solieriaceae,family,31441
Sarcodiotheca,genus,31446
Sarcodiotheca sp. 2gaudichaudii,species,1583048
Dumontiaceae,family,31415
Weeksia,genus,87833
Weeksia coccinea,species,142493
Pugetia cryptica,species,1037065
Gloiocladia fryeana,species,522301
unclassified Gigartinales,no rank,38793
Opuntiella,genus,38361
Opuntiella californica,species,38362
Opuntiella sp. 1californica,species,1583037
Scytosiphonaceae,family,2891
Petalonia,genus,2892
Petalonia filiformis,species,1240993
Rhodymeniaceae,family,31501
Sparlingia,genus,81616
Sparlingia pertusa,species,81617
Fucales,order,3009
Fucaceae,family,3010
Fucus,genus,3011
Fucus distichus,species,3012
Hippothooidea,superfamily,193238
Hippothoidae,family,97246
Celleporella,genus,60592
Celleporella hyalina,species,60593
Halosydna,genus,328595
Halosydna brevisetosa,species,328596
Caulacanthaceae,family,38384
Caulacanthus,genus,31410
Caulacanthus ustulatus,species,31411
Bangiophyceae,class,2797
Bangiales,order,29216
Bangiaceae,family,31345
Bangia,genus,31346
Bangia sp. 1BAN,species,1053098
Pandaloidea,superfamily,115583
Pandalidae,family,6701
Pandalus,genus,6702
Pandalus danae,species,397975
Gobiaria,no rank,1489875
Gobiiformes,order,1489878
Gobioidei,suborder,8219
Gobiidae,family,8220
Gobiinae,subfamily,497223
Rhinogobiops,genus,151722
Rhinogobiops nicholsii,species,151723
Clitellata,class,42113
Oligochaeta,subclass,6381
Haplotaxida,order,6382
Tubificina,suborder,6383
Tubificidae,family,41692
Naidinae,subfamily,1780200
Chaetogaster,genus,74726
Chaetogaster diastrophus,species,74727
Cancer antennarius,species,34650
Macoma,genus,52799
Macoma nasuta,species,244423
Poecilosclerida,order,27925
Myxillidae,family,118318
Myxilla,genus,118320
Myxilla sp. SV-2015,species,1658081
Myxilla mollis,species,1658080
Hyalodiscaceae,family,265573
Podosira,genus,265574
Podosira stelligera,species,265575
Siphonophorae,order,42759
Physonectae,suborder,42760
Agalmatidae,family,168757
Nanomia,genus,168758
Nanomia bijuga,species,168759
Viridiplantae,kingdom,33090
Chlorophyta,phylum,3041
Trebouxiophyceae,class,75966
Microthamniales,order,42111
Trebouxia,genus,13786
Trebouxia aggregata,species,160068
Pleopis,genus,186177
Pleopis polyphemoides,species,186178
Chitonina,no rank,291862
Ischnochitonidae,family,27822
Lepidozona,genus,55526
Lepidozona mertensii,species,256066
Alia gausapata,species,1842842
Eumida,genus,328591
Eumida longicornuta,species,1261549
Hecatonema,genus,86887
Hecatonema maculans,species,1535340
Glebocarcinus,genus,1235681
Glebocarcinus oregonensis,species,1842845
Cancer jordani,species,504413
Cancer oregonensis,species,88208
Mytilus edulis,species,6550
Polysiphonia hendryi,species,1583041
Cottioidei,suborder,8100
Cottales,infraorder,1490021
Liparidae,family,183715
Liparis,genus,183716
Liparis fucensis,species,433401
Diptera,order,7147
Nematocera,suborder,7148
Bibionomorpha,infraorder,43784
Sciaroidea,superfamily,41830
Sciaridae,family,7184
unclassified Sciaridae,no rank,265459
Sciaridae sp. BOLD-2016,species,1881792
Bradysia,genus,35571
Bradysia sp. BOLD-2016,species,1888048
Sciaridae sp. CNWLH399-12,species,1744551
Agaricomycotina,subphylum,5302
Agaricomycetes,class,155619
Agaricomycetidae,subclass,452333
Agaricales,order,5338
Entolomataceae,family,71934
unclassified Entolomataceae,no rank,1045978
Entolomataceae sp. TRTC156478,species,1045979
Spinulosacea,superorder,41245
Velatida,order,7591
Solasteridae,family,7596
Solaster,genus,7597
Solaster endeca,species,290515
Acartia tonsa,species,136180
Acartia hudsonica,species,198241
Eunicidae,family,104737
Eunice,genus,73379
Eunice valens,species,759316
Hemipodia,genus,1746055
Hemipodia simplex,species,1746056
Pterosiphonia,genus,756392
Pterosiphonia sp. 1dendroidea,species,1582979
Peyssonneliaceae,family,173455
Peyssonnelia,genus,173456
unclassified Peyssonnelia,no rank,512125
Peyssonnelia sp. 3BC,species,1582985
Ammodytes cf. personatus SVT-2013,species,1345640
Ammodytes cf. personatus BOLD:AAB8001,species,980322
Ammodytes personatus,species,215382
unclassified Chordariaceae,no rank,1419720
Chordariaceae sp. 17 AP-2014,species,1535390
Ptenoglossa,infraorder,216299
Janthinoidea,superfamily,216301
Epitoniidae,family,69584
Epitonium,genus,69585
Epitonium sawinae,species,1842844
Laminariocolax,genus,64910
Laminariocolax aecidioides,species,68331
Katharina,genus,34586
Katharina tunicata,species,34587
Eirenidae,family,48402
Eutonina,genus,500024
Eutonina indicans,species,500057
Suberitidae,family,55660
Suberites,genus,55566
Suberites sp. UCMPWC859,species,283539
Syllis elongata CMC01,species,868125
Littorina scutulata,species,31221
Keratosa,subclass,1779147
Dendroceratida,order,119424
Halisarcidae,family,253170
Halisarca,genus,253171
Halisarca dujardini,species,253172
Apodacea,subclass,7694
Apodida,order,7701
Synaptidae,family,7702
Leptosynapta,genus,7703
Leptosynapta clarki,species,747474
Esperiopsidae,family,72179
Amphilectus,genus,942673
Amphilectus fucorum,species,942674
Haptophyceae,no rank,2830
Isochrysidales,order,73020
Noelaerhabdaceae,family,418966
Emiliania,genus,2902
environmental samples,no rank,660912
uncultured Emiliania,species,660913
Emiliania huxleyi,species,2903
Cuthona,genus,154643
Cuthona divae,species,1154714
Haplosclerida,order,6049
Chalinidae,family,6056
Haliclona,genus,6057
Haliclona cf. caerulea Palmyra Atoll 15,species,1713837
Haliclona cf. caerulea Palmyra Atoll 13,species,1713835
Haliclona cf. caerulea Palmyra Atoll 12,species,1713834
Haliclona cf. caerulea Palmyra Atoll 11,species,1713833
Haliclona cf. caerulea Palmyra Atoll 4,species,1713826
Haliclona cf. caerulea Palmyra Atoll 3,species,1713825
Haliclona cf. caerulea Palmyra Atoll 2,species,1713824
Sarcopterygii,no rank,8287
Dipnotetrapodomorpha,no rank,1338369
Tetrapoda,no rank,32523
Amniota,no rank,32524
Mammalia,class,40674
Theria,no rank,32525
Eutheria,no rank,9347
Boreoeutheria,no rank,1437010
Euarchontoglires,superorder,314146
Primates,order,9443
Haplorrhini,suborder,376913
Simiiformes,infraorder,314293
Catarrhini,parvorder,9526
Hominoidea,superfamily,314295
Hominidae,family,9604
Homininae,subfamily,207598
Homo,genus,9605
Homo sapiens,species,9606
Callophyllis flabellulata,species,217481
Opuntiella sp. 2californica,species,1267908
Corallophila,genus,326254
Corallophila eatoniana,species,326255
